GeneId,AstroDay7,LA_D7_NPC,log2FoldChange,lfcSE,stat,pvalue,padj
NUDT3,67.43651935,489.2961974,3.157055783,0.255520354,5.819793015,5.89E-09,1.11E-06
RAD50,85.60454885,958.9111102,3.186953787,0.264366201,5.74143042,9.39E-09,1.74E-06
FZD5,3407.979433,11869.43765,1.944242777,0.23343928,5.687260895,1.29E-08,2.35E-06
HNRNPD,2455.011905,7965.351243,1.731040974,0.224931969,5.683513259,1.32E-08,2.37E-06
SMIM11A,0,259.6344729,6.780211763,0.641634186,5.625959937,1.84E-08,3.26E-06
HIST1H1D,7732.35381,18.87251011,-7.91530901,0.249520962,-5.579210696,2.42E-08,4.21E-06
TTYH3,3247.3092,7631.614171,1.682972065,0.232787345,5.576649087,2.45E-08,4.21E-06
USB1,214.9141729,896.9035357,2.309101844,0.253723537,5.500207532,3.79E-08,6.43E-06
ANP32B,588.8096871,2239.712939,2.062715098,0.245244389,5.465079369,4.63E-08,7.73E-06
ASPM,6630.147693,1936.18765,-1.81094265,0.231485356,-5.444606645,5.19E-08,8.56E-06
ZIC4,670.1315198,4427.771529,2.819588616,0.247154632,5.437997809,5.39E-08,8.76E-06
EEF1A1,92005.53625,222464.3722,1.375840851,0.204640121,5.411984938,6.23E-08,1.00E-05
ATP1B2,234.1625803,1772.578135,2.862794867,0.251953486,5.375848694,7.62E-08,1.21E-05
KCNA6,0,115.2666446,5.874673122,0.650626226,5.334762454,9.57E-08,1.50E-05
ZNF124,1255.496897,125.3507208,-3.322922198,0.242059037,-5.291453639,1.21E-07,1.87E-05
MYADM,670.6148484,2060.869572,1.985144963,0.247190004,5.280921168,1.29E-07,1.96E-05
KIF20A,5923.642747,2298.478012,-1.662875657,0.233586956,-5.260872325,1.43E-07,2.16E-05
KDELR1,1962.217023,5208.092938,1.580623207,0.225800997,5.257261761,1.46E-07,2.18E-05
SIX3,360.2813168,2287.04863,2.553835656,0.249832575,5.24982702,1.52E-07,2.21E-05
NLGN2,1492.653956,5266.619562,1.957520561,0.240656308,5.251823365,1.51E-07,2.21E-05
BCAT1,17733.64695,8023.673585,-1.455061414,0.220148341,-5.23244274,1.67E-07,2.40E-05
EIF3L,5928.639881,16460.47413,1.652363616,0.230107352,5.226055451,1.73E-07,2.46E-05
WASF2,1992.720259,3723.605448,1.459080898,0.230350085,5.217912661,1.81E-07,2.54E-05
CDH6,1252.768774,154.1248374,-3.016856456,0.244675899,-5.189344847,2.11E-07,2.93E-05
CACHD1,2439.385388,733.2895517,-1.981325032,0.244954049,-5.161438424,2.45E-07,3.36E-05
PSAP,14569.9991,28741.59557,1.249399004,0.202092053,5.142552632,2.71E-07,3.67E-05
BIRC5,3642.104912,778.5052179,-2.037114853,0.239979932,-5.114327624,3.15E-07,4.22E-05
PTPN23,427.1956419,1713.793379,2.17939793,0.250114227,5.086459717,3.65E-07,4.84E-05
IARS,8289.349186,4057.853205,-1.3538163,0.217482002,-4.962121314,6.97E-07,9.15E-05
NBPF1,813.6174512,2420.705356,1.760854698,0.240933719,4.958723264,7.10E-07,9.21E-05
DNMT3B,5725.878132,2690.863549,-1.347861051,0.212288114,-4.940627546,7.79E-07,0.000100003
PRR12,797.1856974,1795.518973,1.69146721,0.247657071,4.926532873,8.37E-07,0.000106371
FAT1,46566.18897,10894.56937,-1.612546866,0.21954461,-4.902060648,9.48E-07,0.000119279
EEF1D,1728.098061,3177.178036,1.405954603,0.234044428,4.876287657,1.08E-06,0.000134575
EIF3A,3258.444057,6236.619419,1.24837307,0.214479305,4.858469215,1.18E-06,0.00014578
FUS,1321.010559,6879.994479,2.017640987,0.241229297,4.848135991,1.25E-06,0.000152045
CHD2,2497.650664,4903.208737,1.43031759,0.231085407,4.836281115,1.32E-06,0.000159797
SERINC5,5597.10435,1308.110934,-1.984887853,0.243492662,-4.830797084,1.36E-06,0.000162652
GABARAP,4.470221311,282.8477065,5.293384114,0.423090163,4.8253528,1.40E-06,0.000165536
SLC1A3,726.8506492,128.7526185,-2.70790829,0.246662858,-4.821954627,1.42E-06,0.000166763
ARL2BP,21.25031229,414.5295777,3.961252324,0.298212849,4.808194893,1.52E-06,0.000176957
MFSD14A,179.8967265,1717.220503,2.901229877,0.253826946,4.759522026,1.94E-06,0.000223343
SLC9A1,277.4726905,848.6596045,1.935425583,0.251873522,4.747680443,2.06E-06,0.000234608
POLR3G,223.8184933,38.44450794,-2.86040663,0.26242495,-4.741979914,2.12E-06,0.000239074
EIF1,1970.209532,6452.111677,1.689401987,0.236984433,4.723698434,2.32E-06,0.000259215
ICOSLG,0,31.98164155,3.93470328,0.644175163,4.678059229,2.90E-06,0.000321196
PIANP,59.17769614,512.0328341,3.205973192,0.253642229,4.667209357,3.05E-06,0.000335575
BNIP3,2079.537868,716.5175966,-1.83431923,0.247378757,-4.65741554,3.20E-06,0.000348793
SYNGAP1,1232.028597,5707.858284,1.976646806,0.241959543,4.632834218,3.61E-06,0.000386005
DIAPH1,1310.077632,3259.122895,1.390463109,0.225572142,4.634201493,3.58E-06,0.000386005
ACBD6,865.3370398,44.89687217,-4.0533063,0.230599464,-4.630626944,3.65E-06,0.000386751
NUSAP1,10212.20062,4351.92668,-1.508458829,0.238910533,-4.604588599,4.13E-06,0.000434659
AUTS2,1019.190631,3093.605632,1.783576097,0.245415907,4.593133373,4.37E-06,0.000452436
KCNQ2,1504.849118,349.630906,-2.171028807,0.248631163,-4.592674351,4.38E-06,0.000452436
MRFAP1,1917.736037,4516.911422,1.383117892,0.228047973,4.580398593,4.64E-06,0.000472054
LDHA,16753.13595,5759.528218,-1.758481488,0.244477249,-4.580297242,4.64E-06,0.000472054
POM121,568.6454428,1567.729277,1.7243329,0.24782679,4.570496998,4.87E-06,0.00049059
FOXD3-AS1,33.58615554,0.243920774,-5.065948315,0.594182518,-4.541700326,5.58E-06,0.000558023
TRIM24,6566.441488,2511.250625,-1.386454026,0.222000703,-4.537596958,5.69E-06,0.000564363
ZNF670-ZNF695,19.99631516,432.1957131,4.130094185,0.298225851,4.535458826,5.75E-06,0.000565513
PCBP2,2432.805421,6498.781921,1.510636214,0.233186393,4.531281321,5.86E-06,0.0005722
