p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,gene_converted
2.11858039263015e-68,1.22965451352122,0.754,0.097,1.20470955446521e-63,oRG,IL33,IL33
7.09828164823756e-68,1.66162589055689,0.954,0.18,4.03636687645381e-63,oRG,F3,F3
1.40633061213165e-67,1.01834154241656,0.615,0.063,7.99695839282543e-63,oRG,RHOJ,RHOJ
4.63579309196287e-60,1.13062107107314,0.785,0.119,2.63609738381377e-55,oRG,PREX2,PREX2
5.3327254012451e-60,1.27944615948937,0.523,0.052,3.03240097216401e-55,oRG,ALDOC,ALDOC
1.64465236341844e-58,1.19441607384497,0.769,0.118,9.3521511993426e-54,oRG,GATM,GATM
5.32669147827661e-56,1.34665985435688,0.862,0.163,3.02896984220721e-51,oRG,IQGAP2,IQGAP2
1.51422429103765e-55,1.03893082585428,0.677,0.096,8.6104850085565e-51,oRG,ARAP2,ARAP2
4.38244763782764e-55,2.32714277198121,0.954,0.245,2.49203502477431e-50,oRG,CLU,CLU
6.43254756281567e-53,1.26039431530273,0.938,0.201,3.6578038461195e-48,oRG,GLI3,GLI3
7.93588884298936e-53,1.04726277741492,0.646,0.088,4.51266383167747e-48,oRG,PMP22,PMP22
2.68475960220163e-51,1.1802491283562,0.846,0.155,1.52666170019593e-46,oRG,LTBP1,LTBP1
1.08032265923926e-49,1.58219301039223,0.938,0.228,6.14314676949812e-45,oRG,PSAT1,PSAT1
1.23554138112067e-49,1.10005584578248,0.815,0.161,7.02578250960459e-45,oRG,PPAP2B,PPAP2B
1.80975956031521e-49,1.8218864899658,0.908,0.222,1.02910167637764e-44,oRG,TMEM132B,TMEM132B
1.30847165437718e-47,1.10652702036248,0.815,0.164,7.4404932154504e-43,oRG,LIPG,LIPG
1.90368604898558e-47,1.43452255248048,0.908,0.227,1.08251203489516e-42,oRG,ID4,ID4
3.05134216002692e-47,1.5209929396482,0.923,0.234,1.73511520587771e-42,oRG,NOTCH2,NOTCH2
1.5144025884388e-46,1.86779438308353,0.985,0.34,8.61149887889839e-42,oRG,PEA15,PEA15
5.62046238642918e-46,1.02757816243647,0.585,0.082,3.19601973141909e-41,oRG,FBN2,FBN2
8.23820814926509e-46,1.96909559822604,0.954,0.303,4.6845746819981e-41,oRG,SLC1A3,SLC1A3
4.34140061601272e-44,1.24122024235969,0.938,0.256,2.46869404628947e-39,oRG,SLITRK2,SLITRK2
2.4990724079775e-43,2.04290303436834,0.969,0.382,1.42107253407233e-38,oRG,PTN,PTN
1.91104296207446e-42,1.189138336059,0.831,0.193,1.08669546995402e-37,oRG,SOAT1,SOAT1
1.38501612553131e-41,1.19710253972364,0.892,0.231,7.87575569622124e-37,oRG,NRG1,NRG1
2.10500482836081e-41,1.21226113260097,0.877,0.227,1.19698994559909e-36,oRG,LIFR,LIFR
9.86045915403819e-41,1.24360215256243,0.723,0.143,5.60705149335227e-36,oRG,STON2,STON2
1.8937688829261e-40,1.17212731374066,0.923,0.259,1.0768727375871e-35,oRG,ZFP36L1,ZFP36L1
9.92242709617315e-40,1.33892570460122,0.938,0.273,5.6422889439679e-35,oRG,PON2,PON2
1.31743585612755e-39,1.2793701011772,0.923,0.258,7.4914672522837e-35,oRG,AXL,AXL
2.59778542747958e-39,1.19886507837035,1,0.304,1.47720470548199e-34,oRG,PAX6,PAX6
4.11714387493866e-39,1.14313747507579,0.954,0.296,2.34117269304512e-34,oRG,VIM,VIM
5.40731769358434e-39,1.62472159902453,0.923,0.381,3.0748171332798e-34,oRG,ATP1B2,ATP1B2
1.07859239518681e-37,1.44723050782459,0.954,0.331,6.13330779599029e-33,oRG,SFRP1,SFRP1
5.74011586498771e-37,1.03128966928466,0.892,0.244,3.26405948546661e-32,oRG,FSTL1,FSTL1
7.15794555363056e-35,1.17417292371219,0.938,0.29,4.07029415961648e-30,oRG,CREB5,CREB5
9.51560806957394e-35,1.29290341750417,0.969,0.378,5.41095537268252e-30,oRG,SOX9,SOX9
2.29864968188093e-34,1.41581998165681,0.938,0.308,1.30710415510477e-29,oRG,DDAH1,DDAH1
4.86807995067413e-34,1.23736847365539,0.969,0.431,2.76818498315134e-29,oRG,DBI,DBI
1.66086012143052e-33,2.01031467394141,0.954,0.611,9.44431499450251e-29,oRG,PTPRZ1,PTPRZ1
2.14537719618697e-33,1.1207356113156,0.754,0.187,1.21994728883976e-28,oRG,PHACTR2,PHACTR2
3.22784696319556e-32,1.49290429769316,0.969,0.566,1.83548289715153e-27,oRG,FABP5,FABP5
4.67567011020018e-32,1.18268922812005,0.877,0.291,2.65877305146423e-27,oRG,CDO1,CDO1
6.19648901155338e-32,1.1231477554662,0.954,0.356,3.52357151152972e-27,oRG,FUT8,FUT8
2.40114107080853e-31,1.00447532517708,0.862,0.274,1.36538485850456e-26,oRG,TRIM9,TRIM9
5.78199424900805e-31,1.60902871630629,0.954,0.48,3.28787320975594e-26,oRG,FABP7,FABP7
1.28609828766285e-30,1.47342946038994,0.954,0.417,7.31326930296605e-26,oRG,GPR98,GPR98
1.49135678283127e-30,1.14633302659364,0.862,0.284,8.48045120989174e-26,oRG,ATP2B4,ATP2B4
4.13813070773346e-30,1.04742420543919,0.815,0.244,2.35310664564555e-25,oRG,PLAGL1,PLAGL1
6.02103103442787e-30,1.13768917382488,0.6,0.128,3.42379908741706e-25,oRG,BMPR1B,BMPR1B
5.74161337135914e-29,1.21433689758481,0.969,0.443,3.26491102748966e-24,oRG,NCAN,NCAN
1.77546682655156e-28,1.08678721192004,0.908,0.314,1.00960145625028e-23,oRG,RFTN2,RFTN2
2.44663650548915e-28,1.33837541557082,1,0.704,1.39125538248135e-23,oRG,GPM6B,GPM6B
7.37887262871857e-27,1.34572309925945,0.938,0.509,4.19592213159453e-22,oRG,ITGB8,ITGB8
2.41277664297446e-26,1.43208717766157,0.985,0.792,1.372001310261e-21,oRG,FAM171B,FAM171B
3.2082753173901e-26,1.01382006814355,0.338,0.049,1.8243536764807e-21,oRG,PMP2,PMP2
6.95549425394784e-26,1.16175152804558,0.938,0.422,3.9551722525649e-21,oRG,AKAP12,AKAP12
9.49439319069498e-26,1.18805702258859,0.785,0.264,5.3988917439568e-21,oRG,OAT,OAT
1.28736083436935e-25,1.03210510568571,0.923,0.385,7.32044864855785e-21,oRG,TSPAN7,TSPAN7
4.04547794693016e-25,1.13905846694668,0.831,0.289,2.30042057974236e-20,oRG,PTGFRN,PTGFRN
5.2939625942911e-25,1.06687644916444,1,0.825,3.01035888961769e-20,oRG,C1orf61,C1orf61
1.09881415592947e-24,1.25884409525424,0.877,0.367,6.24829681627734e-20,oRG,SLC1A2,SLC1A2
5.70466052751266e-24,1.0597102380691,0.692,0.202,3.2438981623648e-19,oRG,SLC2A3,SLC2A3
1.00941681276467e-23,1.04133932204875,0.892,0.401,5.73994776410505e-19,oRG,INTU,INTU
2.24817914713731e-23,1.24587019123477,0.969,0.55,1.27840459022816e-18,oRG,SCD,SCD
4.56227258683579e-23,1.02264318062228,0.923,0.405,2.59429068377831e-18,oRG,SLC35F1,SLC35F1
8.23332913925182e-23,1.00688636905856,0.769,0.264,4.68180028174415e-18,oRG,LDLR,LDLR
2.35473519030038e-22,1.00686831124047,0.815,0.311,1.33899661861241e-17,oRG,FUT9,FUT9
4.7754232531475e-22,1.08209455935546,0.954,0.756,2.7154966786698e-17,oRG,CNN3,CNN3
5.11731994712564e-21,1.34538719521624,0.954,0.654,2.90991281473352e-16,oRG,HMGCS1,HMGCS1
5.70121395162172e-21,1.0596254330993,0.708,0.237,3.24193830145017e-16,oRG,ETV5,ETV5
1.11590795937033e-20,1.08680230469636,0.954,0.525,6.34549902016346e-16,oRG,MSMO1,MSMO1
1.71596516943103e-20,1.00638353898647,0.415,0.087,9.75766433945262e-16,oRG,BAG3,BAG3
6.31789604765527e-20,1.06799071624753,0.877,0.445,3.59260840853869e-15,oRG,IDI1,IDI1
7.57439310070519e-20,1.19116570864184,0.892,0.425,4.307102892785e-15,oRG,SAT1,SAT1
3.21134279459771e-18,1.11045723359487,0.938,0.614,1.82609796672004e-13,oRG,FOS,FOS
4.28053493615901e-17,1.00752180050281,0.954,0.634,2.43408338609746e-12,oRG,EGR1,EGR1
